metric,mean,std,min,max,median,count
num_vertices,10342.74358974359,8915.121591180674,1068.0,38740.0,6867.0,78
num_faces,20737.74358974359,17840.015814667513,2136.0,77488.0,13825.0,78
k,30.0,0.0,30.0,30.0,30.0,78
pred_patch_extraction_ms,52.72483205398879,48.337920562236455,4.518000001553446,219.2448999849148,36.271049990318716,78
pred_inference_ms,245.58571025651568,85.92871572060814,15.041599981486797,398.82820000639185,257.31549999909475,78
pred_assembly_ms,22.728060259489723,16.356826689193092,5.3251999779604375,85.05410002544522,18.108250020304695,78
pred_total_ms,321.0386025699942,131.41161263407227,25.12329997261986,703.1272000167519,306.50130001595244,78
robust_total_ms,345.30472435887,299.9681793068906,25.6152999936603,1369.3485999829136,265.60200002859347,78
gt_assembly_ms,56.68463333411357,16.04953888708135,36.29499999806285,101.25160001916811,48.47045001224615,78
nelo_graph_tree_ms,519.396394871038,460.332411559638,54.85790001694113,1914.330900006462,342.670249985531,78
nelo_inference_ms,208.11692692223005,142.03061436798805,61.69559998670593,537.0357999927364,138.3948500151746,78
nelo_assembly_ms,23.813961540163756,19.621120455641286,3.9108999771997333,108.32749999826774,17.894400021759793,78
nelo_total_ms,751.3272833334318,608.2548272379272,125.52010006038472,2496.9489999930374,502.6237499550916,78
gt_geodesic_solve_ms,126.82337638659355,134.26004484629044,6.515741348266602,630.8901309967041,74.67830181121826,78
pred_geodesic_solve_ms,715.203474729489,1002.884121428106,15.096664428710938,5299.262523651123,363.8092279434204,78
robust_geodesic_solve_ms,368.17089872112354,352.5820663652586,25.71770001668483,1484.6133000100963,231.57289999653585,78
nelo_geodesic_solve_ms,631.0288997796865,887.5444801638339,14.545679092407227,4453.964710235596,288.8600826263428,78
gt_greens_solve_ms,721.1677935922172,1176.084034910774,18.726399983279407,6568.108699982986,243.7389999977313,78
pred_greens_solve_ms,904.5454461570794,1270.8098089290593,22.947399993427098,6515.670599997975,348.1537500047125,78
robust_greens_solve_ms,706.8312564119996,1204.2749162579933,19.49779997812584,7290.050000010524,213.78704998642206,78
nelo_greens_solve_ms,884.7164128226443,1338.4466866226503,23.09059997787699,7943.934600043576,339.9508500297088,78
pred_e2e_geodesic_ms,1036.2420772994833,1099.522159901393,41.49693431099877,5909.608523710631,688.1961009057704,78
pred_e2e_greens_ms,1225.5840487270737,1343.0667986634867,53.5447999718599,6782.112299988512,681.2155500228982,78
robust_e2e_geodesic_ms,368.17089872112354,352.5820663652586,25.71770001668483,1484.6133000100963,231.57289999653585,78
robust_e2e_greens_ms,1052.1359807708695,1361.537327127768,45.11309997178614,7504.9119999748655,504.1236499964725,78
nelo_e2e_geodesic_ms,1382.3561831131183,1443.9254031941039,141.04806369869038,6676.468810241204,790.7750551239587,78
nelo_e2e_greens_ms,1636.043696156076,1736.2963530903542,154.22560001024976,8427.763100015,854.6424499945715,78
gt_e2e_geodesic_ms,183.50800972070712,147.59787923702416,47.388414735905826,717.7484310232103,121.81506128399633,78
gt_e2e_greens_ms,777.8524269263307,1183.2904613367575,62.718600034713745,6611.1725000082515,297.20590001670644,78
pred_eigvec_cos_top5,0.3896241594472794,0.24475645068676605,2.472964446861905e-06,0.9820997498933008,0.33286670116238903,78
pred_eigvec_cos_top10,0.31250801122378397,0.18829036436319355,0.010633862193140222,0.8674150905311471,0.27040245669941704,78
pred_eigvec_cos_top20,0.24331156244005825,0.1387079970150604,0.027703800032161607,0.8385349765041719,0.21452992941500906,78
pred_eigvec_cos_top50,0.16484208188152483,0.0799476894796882,0.050393818842396285,0.43675483603584486,0.14862608193382792,78
pred_eigvec_cos_all,0.1525409972418315,0.07297763041296712,0.05144505364699024,0.4135085390877211,0.13259253338113497,78
pred_eigvec_cos_0,0.6209489526149229,0.38601680937805866,2.4184067706795593e-08,0.9999999999998223,0.7712799129895296,78
pred_eigvec_cos_1,0.38215175481386826,0.3542776695843604,1.6772846596126882e-10,0.9988676795137119,0.2435406264043247,78
pred_eigvec_cos_2,0.33098778161663145,0.33712451183833425,1.0032689376857172e-08,0.9967739241283505,0.19894621760929382,78
pred_eigvec_cos_3,0.34324675417920647,0.3456291751540104,2.725524819711237e-07,0.9988503944654056,0.22991230679146674,78
pred_eigvec_cos_4,0.27078555401176835,0.30348938723040214,1.355048869978312e-08,0.9874371201697695,0.1353115019356479,78
pred_eigvec_cos_5,0.2921301782301941,0.3077572122381666,8.172283506516643e-09,0.9975943282303398,0.17640039653660028,78
pred_eigvec_cos_6,0.314326317398193,0.30262325138974905,0.00023434866752979452,0.9978982485654989,0.20407920573625943,78
pred_eigvec_cos_7,0.2093686944161758,0.23187999654104122,1.6333524318153659e-07,0.9842568313023077,0.11955292358123767,78
pred_eigvec_cos_8,0.18276063213831883,0.2338541151779444,7.428928136496477e-09,0.9769034729495217,0.09290065342951395,78
