train/mcv_magnitude_std,val_fmap/animals/fmap_hks_wks/top5_acc,train/loss,val_fmap/animals/spectral_nn/top5_acc,val_fmap/animals/eval_B/lambda_01,val_fmap/animals/eval_B/lambda_100,val_fmap/animals/eval_A/lambda_01,val_fmap/animals/spectral_nn/ortho_error,val_fmap/animals/spectral_nn/diag_ratio,val_fmap/animals/spectral_nn/biject_error,train/stiffness_mean,val_fmap/animals/spectral_nn/geo_mean_error,val_fmap/animals/spectral_nn/geo_at_10pct,val_fmap/animals/eval_B/lambda_10,val_fmap/animals/spectral_nn/geo_at_25pct,train/LogAreaSupervisionLoss,val_fmap/animals/fmap_hks_wks/geo_mean_error,val_fmap/animals/fmap_hks_wks/median_error,train/stiffness_area_ratio_std,val_fmap/animals/eval_A/lambda_10,val_fmap/animals/eval_B/lambda_mean,val_fmap/animals/fmap_hks_wks/geo_at_10pct,_timestamp,val_fmap/animals/spectral_nn/mean_error,_runtime,train/area_mean,val_fmap/animals/eval_B/lambda_05,val_fmap/animals/eval_A/lambda_mean,val_fmap/animals/fmap_hks_wks/geo_at_05pct,epoch,val_fmap/animals/fmap_hks_wks/mean_error,val_fmap/animals/fmap_hks_wks/top10_acc,val_fmap/animals/fmap_hks_wks/ortho_error,val_fmap/animals/fmap_hks_wks/accuracy,val_fmap/animals/fmap_hks_wks/geo_at_25pct,val_fmap/animals/eval_B/lambda_50,val_fmap/animals/spectral_nn/top10_acc,val_fmap/animals/spectral_nn/geo_at_01pct,val_fmap/animals/eval_A/lambda_100,val_fmap/animals/spectral_nn/accuracy,val_fmap/animals/eval_A/lambda_05,train/cosine_similarity,val_fmap/animals/fmap_hks_wks/diag_ratio,val_fmap/animals/fmap_hks_wks/corr_error,train/mcv_magnitude_mean,train/GeneralizedGradientSupervisionLoss,val_fmap/animals/fmap_hks_wks/geomfum_accuracy,val_fmap/animals/eval_A/lambda_50,train/encoder_weight_norm,val_fmap/animals/eval_A/lambda_20,train/stiffness_max,_step,val_fmap/animals/fmap_hks_wks/top3_acc,val_fmap/animals/fmap_hks_wks/geo_at_01pct,val_fmap/geo@5%,val_fmap/animals/fmap_hks_wks/biject_error,val_fmap/animals/eval_B/lambda_max,train/stiffness_area_ratio_mean,val_fmap/animals/eval_B/lambda_20,val_fmap/animals/spectral_nn/corr_error,train/stiffness_std,val_fmap/animals/spectral_nn/top3_acc,train/area_std,val_fmap/animals/spectral_nn/geo_at_05pct,trainer/global_step,val_fmap/animals/spectral_nn/median_error,val_fmap/animals/eval_A/lambda_max
0.022167431190609932,,73.77863311767578,,,,,,,,0.017937513068318367,,,,,65.38794708251953,,,0.04276828095316887,,,,1776364040.6013525,,147.806000967,5.395755290985107,,,,0,,,,,,,,,,,,0.3835628628730774,,,0.03699168935418129,8.39067554473877,,,24.925256729125977,,0.12520602345466614,0,,,,,,0.36686915159225464,,,0.01192823238670826,,0.38422414660453796,,2,,
0.019569842144846916,,73.31563568115234,,,,,,,,0.01520449947565794,,,,,65.1184310913086,,,0.039391517639160156,,,,1776364048.1954947,,155.401370179,5.3019938468933105,,,,1,,,,,,,,,,,,0.38059914112091064,,,0.032305944710969925,8.197196006774902,,,24.92523193359375,,0.11232789605855942,1,,,,,,0.31695452332496643,,,0.010244491510093212,,0.3751447796821594,,5,,
0.017176948487758636,,72.84733581542969,,,,,,,,0.012675919570028782,,,,,64.84683227539062,,,0.03542156144976616,,,,1776364055.5861819,,162.790282396,5.210034370422363,,,,2,,,,,,,,,,,,0.3808938264846802,,,0.027594706043601036,8.00049877166748,,,24.925275802612305,,0.09447615593671799,2,,,,,,0.2691938579082489,,,0.008631483651697636,,0.37133631110191345,,8,,
0.014889420010149479,,72.35145568847656,,,,,,,,0.010381934233009815,,,,,64.56539916992188,,,0.03145010769367218,,,,1776364062.8117123,,170.015619642,5.114145755767822,,,,3,,,,,,,,,,,,0.37892207503318787,,,0.023349987342953682,7.7860636711120605,,,24.92538833618164,,0.0809091329574585,3,,,,,,0.2245611548423767,,,0.0072059291414916515,,0.3575674295425415,,11,,
0.012704428285360336,,71.8203353881836,,,,,,,,0.008291215635836124,,,,,64.25407409667969,,,0.02881217934191227,,,,1776364069.9261005,,177.130235433,5.014714241027832,,,,4,,,,,,,,,,,,0.379043847322464,,,0.01928151771426201,7.566258907318115,,,24.925569534301758,,0.06935909390449524,4,,,,,,0.183010533452034,,,0.005921091418713331,,0.35193294286727905,,14,,
0.010636155493557453,,71.33562469482422,,,,,,,,0.0064209625124931335,,,,,64.00497436523438,,,0.024973897263407707,,,,1776364077.3284345,,184.532569527,4.935371398925781,,,,5,,,,,,,,,,,,0.3760608732700348,,,0.015585004352033138,7.330644607543945,,,24.92582130432129,,0.05635997653007507,5,,,,,,0.14396408200263977,,,0.004713117145001888,,0.3563728332519531,,17,,
0.008635425940155983,,70.9085922241211,,,,,,,,0.004776401445269585,,,,,63.827537536621094,,,0.021260956302285194,,,,1776364085.1611192,,192.365708278,4.879097938537598,,,,6,,,,,,,,,,,,0.37816834449768066,,,0.012096812948584557,7.081056118011475,,,24.926158905029297,,0.04810149595141411,6,,,,,,0.10845531523227692,,,0.0036724659148603678,,0.35388442873954773,,20,,
0.006918400060385466,,70.40547943115234,,,,,,,,0.0033852418418973684,,,,,63.58640670776367,,,0.01782476343214512,,,,1776364092.43531,,199.639662365,4.80293083190918,,,,7,,,,,,,,,,,,0.3726711869239807,,,0.009177714586257935,6.819077968597412,,,24.926576614379883,,0.03883308917284012,7,,,,,,0.078011654317379,,,0.002760854084044695,,0.3465612828731537,,23,,
0.005340326577425003,,69.8973159790039,,,,,,,,0.002252025995403528,,,,,63.35529327392578,,,0.014277379959821701,,,,1776364100.4335978,,207.638364029,4.7327117919921875,,,,8,,,,,,,,,,,,0.37191346287727356,,,0.006666406989097595,6.5420241355896,,,24.927085876464844,,0.029967106878757477,8,,,,,,0.0528055876493454,,,0.0020297821611166,,0.3383493721485138,,26,,
0.003962889313697815,,69.4314193725586,,,,,,,,0.0014005053089931607,,,,,63.176185607910156,,,0.010919982567429543,,,,1776364107.7003317,,214.905314973,4.679468631744385,,,,9,,,,,,,,,,,,0.36365553736686707,,,0.004615552257746458,6.255232810974121,,,24.92769432067871,,0.023381052538752556,9,,,,,,0.033238060772418976,,,0.001436346210539341,,0.3326103985309601,,29,,
0.002859859261661768,,68.98541259765625,,,,,,,,0.0008472807239741087,,,,,63.0056266784668,,,0.007559522986412048,,,,1776364115.2285125,,222.433503994,4.627133846282959,,,,10,,,,,,,,,,,,0.35331207513809204,,,0.0032265828922390938,5.979782581329346,,,24.928388595581055,,0.019870147109031677,10,,,,,,0.020315300673246384,,,0.0010299786226823926,,0.326642245054245,,32,,
0.002130175707861781,,68.63719940185547,,,,,,,,0.0005952551728114486,,,,,62.84479904174805,,,0.005102182272821665,,,,1776364122.4715066,,229.675835726,4.576582431793213,,,,11,,,,,,,,,,,,0.34516680240631104,,,0.0024847802706062794,5.792399883270264,,,24.929153442382812,,0.01591453142464161,11,,,,,,0.01440594345331192,,,0.0008029646123759449,,0.3331575095653534,,35,,
0.0018673771992325783,,68.48229217529297,,,,,,,,0.0005903140990994871,,,,,62.70179748535156,,,0.004372379742562771,,,,1776364129.6651542,,236.86977901,4.5363078117370605,,,,12,,,,,,,,,,,,0.34102869033813477,,,0.0024013742804527283,5.780494213104248,,,24.929893493652344,,0.01674487441778183,12,,,,,,0.014375608414411545,,,0.0007836508448235691,,0.31946519017219543,,38,,
