val_fmap/animals/fmap_hks_wks/diag_ratio,trainer/global_step,val_fmap/animals/fmap_hks_wks/biject_error,val_fmap/animals/eval_B/lambda_10,val_fmap/animals/eval_A/lambda_10,val_fmap/animals/spectral_nn/ortho_error,val_fmap/animals/fmap_hks_wks/geo_at_25pct,_step,val_fmap/animals/eval_B/lambda_50,val_fmap/animals/spectral_nn/mean_error,val_fmap/animals/fmap_hks_wks/mean_error,val_fmap/animals/fmap_hks_wks/geo_mean_error,val_fmap/animals/fmap_hks_wks/accuracy,val_fmap/animals/spectral_nn/geo_at_25pct,val_fmap/animals/fmap_hks_wks/geo_at_05pct,val_fmap/animals/eval_A/lambda_50,val_fmap/animals/eval_B/lambda_max,_runtime,val_fmap/animals/fmap_hks_wks/top5_acc,val_fmap/animals/fmap_hks_wks/ortho_error,val_fmap/animals/fmap_hks_wks/median_error,val_fmap/animals/eval_A/lambda_mean,val_fmap/animals/spectral_nn/biject_error,val_fmap/animals/spectral_nn/accuracy,val_fmap/animals/eval_A/lambda_01,val_fmap/animals/spectral_nn/geo_at_10pct,val_fmap/animals/spectral_nn/top5_acc,val_fmap/animals/fmap_hks_wks/geomfum_accuracy,val_fmap/animals/spectral_nn/geo_at_01pct,epoch,val_fmap/animals/eval_B/lambda_01,val_fmap/geo@5%,val_fmap/animals/eval_A/lambda_20,val_fmap/animals/spectral_nn/top10_acc,val_fmap/animals/eval_A/lambda_100,val_fmap/animals/spectral_nn/top3_acc,val_fmap/animals/eval_A/lambda_max,val_fmap/animals/spectral_nn/diag_ratio,val_fmap/animals/eval_B/lambda_mean,val_fmap/animals/fmap_hks_wks/top3_acc,val_fmap/animals/eval_B/lambda_100,val_fmap/animals/spectral_nn/geo_at_05pct,val_fmap/animals/spectral_nn/geo_mean_error,val_fmap/animals/fmap_hks_wks/geo_at_01pct,val_fmap/animals/eval_A/lambda_05,val_fmap/animals/spectral_nn/median_error,_timestamp,val_fmap/animals/fmap_hks_wks/corr_error,val_fmap/animals/fmap_hks_wks/geo_at_10pct,val_fmap/animals/spectral_nn/corr_error,val_fmap/animals/eval_B/lambda_05,val_fmap/animals/eval_B/lambda_20,val_fmap/animals/fmap_hks_wks/top10_acc,train/stiffness_max,train/stiffness_area_ratio_mean,train/stiffness_std,train/area_std,train/area_mean,train/LogAreaSupervisionLoss,train/stiffness_mean,train/cosine_similarity,train/loss,train/GeneralizedLaplacianTestLoss,train/mcv_magnitude_std,train/stiffness_area_ratio_std,train/GradientL2RegularizationLoss,train/encoder_weight_norm,train/mcv_magnitude_mean,train/GeneralizedGradientSupervisionLoss
0.13806985318660736,2,18.378080368041992,0.23392345011234283,0.24746763706207275,6.908176898956299,0.4353249669075012,0,1.5245369672775269,0.021459920331835747,0.22768685221672058,0.39140236377716064,0.0022312498185783625,0.994112491607666,0.10205625742673874,1.6060724258422852,2.6297054290771484,250.548352743,0.011043749749660492,18.378080368041992,0.19612810015678406,1.5085679292678833,6.908176898956299,0.09401874989271164,5.0198560586078855e-17,0.9679561853408813,0.3055562674999237,0.003393750172108412,0.1867000013589859,0,2.7701365507004638e-17,0.8181375861167908,0.6229433417320251,0.4488687515258789,2.7449498176574707,0.21697498857975006,2.7449498176574707,0.12235784530639648,1.4412293434143066,0.007037498988211155,2.6297054290771484,0.8181375861167908,0.033559318631887436,0.005906249862164259,0.07498735934495926,0.01787344180047512,1776422718.7708397,12.773534774780273,0.2641562521457672,12.877098083496094,0.07122933864593506,0.5838677287101746,0.020600000396370888,,,,,,,,,,,,,,,,
,2,,,,,,1,,,,,,,,,,251.832286249,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1776422720.0566452,,,,,,,0.19004827737808228,0.04615861177444458,0.01810429058969021,0.41148531436920166,6.5274834632873535,33.772605895996094,0.01682152785360813,0.2978825271129608,56.81559753417969,16.815778732299805,0.010443792678415775,0.016517244279384613,0.01682152785360813,48.02541732788086,0.013225888833403587,6.227196216583252
0.14736008644104004,5,15.512207984924316,0.22110506892204285,0.22665561735630035,7.039353370666504,0.4468500316143036,2,1.4292354583740234,0.022361647337675095,0.2114066779613495,0.36986830830574036,0.0024187499657273293,0.9941312074661255,0.09565624594688416,1.4816521406173706,2.4507455825805664,339.1674797,0.011318749748170376,15.512207984924316,0.17702914774417877,1.3929816484451294,7.039353370666504,0.08775624632835388,7.432205892388133e-17,0.9654125571250916,0.2884812653064728,0.002987500047311187,0.17446249723434448,1,2.211772431870429e-17,0.80078125,0.5787221789360046,0.4280562400817871,2.536562204360962,0.20413753390312195,2.536562204360962,0.12127477675676346,1.3500367403030396,0.006987500470131636,2.4507455825805664,0.80078125,0.034940626472234726,0.0060812500305473804,0.0693168044090271,0.01865953765809536,1776422807.3899648,12.63787841796875,0.2602812349796295,12.83005428314209,0.06540543586015701,0.5532482266426086,0.021018747240304947,,,,,,,,,,,,,,,,
,5,,,,,,3,,,,,,,,,,340.358389923,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1776422808.5828383,,,,,,,0.15814408659934998,0.029411617666482925,0.013173568993806839,0.3793579638004303,5.885887622833252,32.623626708984375,0.009537155739963055,0.29463905096054077,55.18479919433594,16.8284969329834,0.0076080975122749805,0.01602843403816223,0.009537155739963055,48.0258903503418,0.008904031477868557,5.732668876647949
0.141013965010643,8,18.66619300842285,0.22032305598258972,0.21857009828090668,7.036192893981934,0.46117499470710754,4,1.418050765991211,0.02342475764453411,0.2184140682220459,0.3737294673919678,0.0021437499672174454,0.9938374161720276,0.09188748896121979,1.4486303329467773,2.4065234661102295,426.487149421,0.010887499898672104,18.66619300842285,0.19190290570259094,1.3529021739959717,7.036192893981934,0.07991249114274979,-8.131516293641283e-19,0.9617500305175781,0.2695874869823456,0.003481250023469329,0.16094374656677246,2,4.640385298237959e-17,0.7850437164306641,0.5686333179473877,0.40601250529289246,2.4450998306274414,0.18965625762939453,2.4450998306274414,0.11936245858669281,1.333706021308899,0.006612501107156277,2.4065234661102295,0.7850437164306641,0.036485705524683,0.005600000731647015,0.06497228890657425,0.0194114800542593,1776422894.7097538,12.717337608337402,0.25863125920295715,12.732076644897461,0.060886118561029434,0.5536017417907715,0.020349999889731407,,,,,,,,,,,,,,,,
,8,,,,,,5,,,,,,,,,,427.762890447,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1776422895.9875443,,,,,,,0.14577972888946533,0.027102772146463394,0.011456134729087353,0.3550911545753479,5.334022045135498,31.560367584228516,0.007986159063875675,0.3114602267742157,53.68993377685547,16.822282791137695,0.007033766247332096,0.016328444704413414,0.007986160926520824,48.02650833129883,0.0067014615051448345,5.307278156280518
0.13297484815120697,11,13.781448364257812,0.2625649869441986,0.26618191599845886,6.922351360321045,0.4729125201702118,6,1.742966890335083,0.023072930052876472,0.20898543298244476,0.36100661754608154,0.0024625000078231096,0.99423748254776,0.0972374975681305,1.8034181594848633,2.9771904945373535,514.980586921,0.011518750339746475,13.781448364257812,0.1771300733089447,1.6869142055511475,6.922351360321045,0.08171875029802322,6.646159317336142e-17,0.9634062051773071,0.2733062505722046,0.00374374957755208,0.1639374941587448,3,-6.0173220572945496e-18,0.7889062166213989,0.6988853812217712,0.41016870737075806,3.053478717803955,0.1921437680721283,3.053478717803955,0.11949760466814041,1.6435582637786865,0.006962500046938658,2.9771904945373535,0.7889062166213989,0.03599291667342186,0.0061874995008111,0.07768550515174866,0.019180534407496452,1776422983.203181,12.40939998626709,0.2720312774181366,12.693726539611816,0.07139932364225388,0.6771764755249023,0.02083124965429306,,,,,,,,,,,,,,,,
,11,,,,,,7,,,,,,,,,,536.185214355,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1776423004.4090807,,,,,,,0.1635374128818512,0.028504645451903343,0.011724094860255718,0.3432314991950989,4.824649810791016,30.485647201538086,0.007644689176231623,0.3164428770542145,52.181427001953125,16.822864532470703,0.008487512357532978,0.01864428073167801,0.007644689176231623,48.027339935302734,0.0067129312083125114,4.872905731201172
0.13431531190872192,14,14.097480773925781,0.32223740220069885,0.33889883756637573,6.8335490226745605,0.4566125273704529,8,2.214369058609009,0.022315649315714836,0.213828906416893,0.3674722909927368,0.0027000000700354576,0.9944186806678772,0.09882499277591705,2.3299243450164795,3.8376450538635254,621.871371719,0.011124999262392521,14.097480773925781,0.17925307154655457,2.1946771144866943,6.8335490226745605,0.08423750847578049,-1.1384122811097797e-17,0.9647561311721802,0.28241875767707825,0.0032937503419816494,0.1727437674999237,4,2.813504637599884e-17,0.8014875054359436,0.8938480019569397,0.4253687560558319,3.983083486557007,0.19913747906684875,3.983083486557007,0.12304907292127609,2.1043622493743896,0.007256250362843275,3.8376450538635254,0.8014875054359436,0.03489670529961586,0.006493750493973494,0.10038161277770996,0.01853996515274048,1776423090.0939865,12.373167991638184,0.26399996876716614,12.783560752868652,0.09159035980701447,0.8517699241638184,0.02043749950826168,,,,,,,,,,,,,,,,
,14,,,,,,9,,,,,,,,,,623.173515738,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1776423091.3978455,,,,,,,0.15397757291793823,0.03300853446125984,0.011988497339189053,0.33105921745300293,4.335178852081299,29.36037826538086,0.007934250868856907,0.3069305121898651,50.72999954223633,16.827796936035156,0.0099239656701684,0.022071344777941704,0.007934250868856907,48.02838897705078,0.00886446051299572,4.54181432723999
0.14358927309513092,17,14.76896858215332,0.4277772605419159,0.4510634243488312,6.727756500244141,0.468356192111969,10,2.998838186264038,0.021588174626231194,0.2091977447271347,0.3661990761756897,0.002306249924004078,0.9944313764572144,0.09532500058412552,3.1713457107543945,5.2534565925598145,708.753844506,0.009812500327825546,14.76896858215332,0.16999830305576324,3.0047953128814697,6.727756500244141,0.08944375067949295,9.150666335777657e-17,0.9655374884605408,0.2987000048160553,0.003568749874830246,0.18274375796318054,5,4.0766001685454967e-17,0.8137063384056091,1.1975051164627075,0.4438374638557434,5.509685039520264,0.2126375138759613,5.509685039520264,0.12396663427352905,2.8600404262542725,0.006093749776482582,5.2534565925598145,0.8137063384056091,0.033869668841362,0.0056625003926455975,0.13426919281482697,0.017828984186053276,1776423176.9765296,12.431985855102539,0.2602812349796295,12.886786460876465,0.12242726981639862,1.1347103118896484,0.01861250214278698,,,,,,,,,,,,,,,,
,17,,,,,,11,,,,,,,,,,709.88180032,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1776423178.1063488,,,,,,,0.17003272473812103,0.04282967373728752,0.012896465137600899,0.3019891083240509,3.8256564140319824,28.07673454284668,0.008996434509754181,0.30857113003730774,49.24603271484375,16.821290969848633,0.012113221921026707,0.027936004102230072,0.008996434509754181,48.0295295715332,0.011920814402401447,4.347996234893799
