train/GeneralizedGradientSupervisionLoss,val_fmap/animals/spectral_nn/biject_error,val_fmap/animals/eval_B/lambda_05,val_fmap/animals/spectral_nn/corr_error,val_fmap/animals/fmap_hks_wks/median_error,val_fmap/animals/eval_A/lambda_50,val_fmap/animals/fmap_hks_wks/biject_error,val_fmap/animals/eval_A/lambda_10,train/area_std,val_fmap/animals/spectral_nn/median_error,val_fmap/animals/fmap_hks_wks/top5_acc,val_fmap/animals/fmap_hks_wks/geo_at_05pct,val_fmap/animals/spectral_nn/geo_at_25pct,train/mcv_magnitude_std,val_fmap/animals/fmap_hks_wks/ortho_error,_timestamp,train/loss,_step,train/stiffness_area_ratio_mean,val_fmap/animals/eval_B/lambda_10,train/GeneralizedLaplacianTestLoss,train/stiffness_max,val_fmap/animals/eval_A/lambda_05,val_fmap/animals/fmap_hks_wks/geo_at_01pct,val_fmap/animals/fmap_hks_wks/diag_ratio,val_fmap/animals/fmap_hks_wks/geo_at_10pct,val_fmap/animals/spectral_nn/top10_acc,val_fmap/animals/eval_A/lambda_100,val_fmap/animals/spectral_nn/mean_error,val_fmap/animals/eval_A/lambda_max,val_fmap/animals/fmap_hks_wks/mean_error,val_fmap/animals/spectral_nn/geo_at_05pct,val_fmap/animals/spectral_nn/geo_mean_error,val_fmap/animals/spectral_nn/accuracy,val_fmap/animals/fmap_hks_wks/top10_acc,train/cosine_similarity,val_fmap/animals/fmap_hks_wks/top3_acc,val_fmap/animals/spectral_nn/diag_ratio,val_fmap/animals/eval_A/lambda_mean,val_fmap/animals/fmap_hks_wks/geomfum_accuracy,val_fmap/animals/spectral_nn/geo_at_10pct,trainer/global_step,val_fmap/animals/fmap_hks_wks/geo_at_25pct,train/mcv_magnitude_mean,val_fmap/animals/eval_B/lambda_20,val_fmap/animals/eval_B/lambda_100,train/stiffness_area_ratio_std,val_fmap/geo@5%,train/area_mean,val_fmap/animals/spectral_nn/top3_acc,train/stiffness_mean,_runtime,val_fmap/animals/spectral_nn/geo_at_01pct,val_fmap/animals/fmap_hks_wks/corr_error,epoch,val_fmap/animals/eval_A/lambda_01,val_fmap/animals/spectral_nn/top5_acc,val_fmap/animals/eval_B/lambda_mean,val_fmap/animals/fmap_hks_wks/geo_mean_error,val_fmap/animals/eval_B/lambda_50,train/stiffness_std,val_fmap/animals/eval_A/lambda_20,train/encoder_weight_norm,val_fmap/animals/spectral_nn/ortho_error,val_fmap/animals/eval_B/lambda_max,train/LogAreaSupervisionLoss,val_fmap/animals/eval_B/lambda_01,val_fmap/animals/fmap_hks_wks/accuracy
1.0185927152633667,,,,,,,,0.12105027586221695,,,,,0.02138984575867653,,1776329434.7830248,48.43489456176758,0,0.4020668566226959,,3.870507001876831,0.029752451926469803,,,,,,,,,,,,,,0.51637864112854,,,,,,9,,0.038712482899427414,,,0.032298993319272995,,5.301182746887207,,0.014253645204007626,135.330445387,,,0,,,,,,0.0036312341690063477,,24.925336837768555,,,43.54579544067383,,
1.0019564628601074,,,,,,,,0.12007895112037659,,,,,0.024505695328116417,,1776329437.157609,48.1573486328125,1,0.47127965092658997,,3.855086326599121,0.03306373953819275,,,,,,,,,,,,,,0.5181970000267029,,,,,,19,,0.04460759460926056,,,0.03464806079864502,,5.202136039733887,,0.01639658957719803,137.704198205,,,1,,,,,,0.004017213359475136,,24.925609588623047,,,43.3003044128418,,
0.9865444898605347,,,,,,,,0.1144610121846199,,,,,0.02803798019886017,,1776329439.7024844,47.88688278198242,2,0.5475217700004578,,3.8385441303253174,0.03709208965301514,,,,,,,,,,,,,,0.5202364325523376,,,,,,29,,0.051096972078084946,,,0.03681671619415283,,5.108128070831299,,0.018710767850279808,140.24943673,,,2,,,,,,0.004451077897101641,,24.925975799560547,,,43.06179428100586,,
0.9718088507652283,,,,,,,,0.11476641148328781,,,,,0.03186595067381859,,1776329442.0911036,47.621315002441406,3,0.630772054195404,,3.820408582687378,0.04065318405628204,,,,,,,,,,,,,,0.5220288634300232,,,,,,39,,0.058407533913850784,,,0.039618030190467834,,5.01752233505249,,0.02115747146308422,142.637701607,,,3,,,,,,0.004946483764797449,,24.926481246948242,,,42.82909393310547,,
0.9570123553276062,,,,,,,,0.11656763404607773,,,,,0.035969238728284836,,1776329444.415001,47.34343338012695,4,0.7207015752792358,,3.802213191986084,0.04501310735940933,,,,,,,,,,,,,,0.5227153301239014,,,,,,49,,0.06624330580234528,,,0.04275760427117348,,4.92366886138916,,0.023726660758256912,144.96138158,,,4,,,,,,0.005445717368274927,,24.927148818969727,,,42.584205627441406,,
0.9434336423873901,,,,,,,,0.11354925483465195,,,,,0.04051539674401283,,1776329446.6675947,47.04866409301758,5,0.8179339170455933,,3.7837698459625244,0.049174536019563675,,,,,,,,,,,,,,0.5227610468864441,,,,,,59,,0.07487977296113968,,,0.046050574630498886,,4.82484769821167,,0.026389257982373238,147.214011697,,,5,,,,,,0.005953399930149317,,24.927955627441406,,,42.32145690917969,,
0.9296565651893616,,,,,,,,0.10868366062641144,,,,,0.04519238695502281,,1776329448.991083,46.74174880981445,6,0.9229602217674255,,3.7639734745025635,0.05372470244765282,,,,,,,,,,,,,,0.523961067199707,,,,,,69,,0.08403761684894562,,,0.049133021384477615,,4.723765850067139,,0.02917332574725151,149.537515887,,,6,,,,,,0.006501110270619392,,24.928903579711914,,,42.048118591308594,,
0.91721111536026,,,,,,,,0.10711250454187393,,,,,0.05100073665380478,,1776329451.4712021,46.438690185546875,7,1.0358182191848755,,3.7443864345550537,0.05817457288503647,,,,,,,,,,,,,,0.523124635219574,,,,,,79,,0.09423644095659256,,,0.05300028622150421,,4.6249098777771,,0.03205054998397827,152.01847585,,,7,,,,,,0.007099378854036331,,24.929973602294922,,,41.7770881652832,,
0.9048281908035278,,,,,,,,0.10666859894990921,,,,,0.05647790804505348,,1776329453.8694088,46.11930465698242,8,1.1537823677062988,,3.7231342792510986,0.06338659673929214,,,,,,,,,,,,,,0.5227669477462769,,,,,,89,,0.10463058948516846,,,0.05820837616920471,,4.523290157318115,,0.03489697352051735,154.415783476,,,8,,,,,,0.007716161198914051,,24.931142807006836,,,41.49134063720703,,
0.8945139646530151,,,,,,,,0.10290087014436722,,,,,0.06260209530591965,,1776329456.288995,45.786460876464844,9,1.2826193571090698,,3.703160047531128,0.06804147362709045,,,,,,,,,,,,,,0.5238574743270874,,,,,,99,,0.11604125797748566,,,0.06214965879917145,,4.416735649108887,,0.037885189056396484,156.835487859,,,9,,,,,,0.008331778459250927,,24.9323673248291,,,41.188785552978516,,
