train/stiffness_max,trainer/global_step,train/AreaOnlyLogMagnitudeLoss,_step,train/stiffness_area_ratio_mean,train/stiffness_std,train/area_std,_runtime,train/area_mean,train/stiffness_mean,train/cosine_similarity,train/loss,epoch,train/mcv_magnitude_std,train/stiffness_area_ratio_std,train/encoder_weight_norm,train/mcv_magnitude_mean,_timestamp,train/DirectionCosineLoss,val_fmap/animals/fmap_hks_wks/diag_ratio,val/eigenvector_8_similarity/dataloader_idx_0,val/eigenvalue_correlation/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/biject_error,val/spectral_distance/dataloader_idx_0,val_fmap/animals/eval_B/lambda_10,val_fmap/animals/eval_A/lambda_10,val/eigenvector_5_similarity/dataloader_idx_0,val_fmap/animals/spectral_nn/ortho_error,val_fmap/animals/fmap_hks_wks/geo_at_25pct,val/eigenvector_17_similarity/dataloader_idx_0,val/eigenvector_18_similarity/dataloader_idx_0,val/eigenvector_2_similarity/dataloader_idx_0,val/eigenvector_6_similarity/dataloader_idx_0,val/geodesic_correlation_std/dataloader_idx_0,val_fmap/animals/eval_B/lambda_50,val/eigenvector_similarity_mean/dataloader_idx_0,val_fmap/animals/spectral_nn/mean_error,val/eigenvector_15_similarity/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/mean_error,val_fmap/animals/fmap_hks_wks/geo_mean_error,val_fmap/animals/fmap_hks_wks/accuracy,val_fmap/animals/spectral_nn/geo_at_25pct,val/eigenvector_19_similarity/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/geo_at_05pct,val_fmap/animals/eval_A/lambda_50,val_fmap/animals/eval_B/lambda_max,val/geodesic_num_sources/dataloader_idx_0,val/eigenvector_14_similarity/dataloader_idx_0,val/geodesic_max_error_mean/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/top5_acc,val/eigenvector_4_similarity/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/ortho_error,val_fmap/animals/fmap_hks_wks/median_error,val_fmap/animals/eval_A/lambda_mean,val/geodesic_monotonicity_mean/dataloader_idx_0,val_fmap/animals/spectral_nn/biject_error,val/eigenvector_similarity_mean_skip0/dataloader_idx_0,val_fmap/animals/spectral_nn/accuracy,val/lambda1_ratio/dataloader_idx_0,val_fmap/animals/eval_A/lambda_01,val/eigenvector_0_similarity/dataloader_idx_0,val/eigenvector_12_similarity/dataloader_idx_0,val_fmap/animals/spectral_nn/geo_at_10pct,val_fmap/animals/spectral_nn/top5_acc,val_fmap/animals/fmap_hks_wks/geomfum_accuracy,val_fmap/animals/spectral_nn/geo_at_01pct,val/eigenvector_10_similarity/dataloader_idx_0,val/eigenvector_7_similarity/dataloader_idx_0,val/eigenvector_3_similarity/dataloader_idx_0,val_fmap/animals/eval_B/lambda_01,val_fmap/geo@5%,val_fmap/animals/eval_A/lambda_20,val_fmap/animals/spectral_nn/top10_acc,val_fmap/animals/eval_A/lambda_100,val/eigenvector_9_similarity/dataloader_idx_0,val_fmap/animals/spectral_nn/top3_acc,val_fmap/animals/eval_A/lambda_max,val_fmap/animals/spectral_nn/diag_ratio,val_fmap/animals/eval_B/lambda_mean,val/geodesic_correlation_mean/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/top3_acc,val/eigenvector_13_similarity/dataloader_idx_0,val_fmap/animals/eval_B/lambda_100,val/spectral_gap_ratio/dataloader_idx_0,val_fmap/animals/spectral_nn/geo_at_05pct,val_fmap/animals/spectral_nn/geo_mean_error,val_fmap/animals/fmap_hks_wks/geo_at_01pct,val/eigenvector_1_similarity/dataloader_idx_0,val/eigenvector_16_similarity/dataloader_idx_0,val_fmap/animals/eval_A/lambda_05,val_fmap/animals/spectral_nn/median_error,val/geodesic_mae_mean/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/corr_error,val/eigenvalue_rel_mse/dataloader_idx_0,val/eigenvector_11_similarity/dataloader_idx_0,val_fmap/animals/fmap_hks_wks/geo_at_10pct,val_fmap/animals/spectral_nn/corr_error,val_fmap/animals/eval_B/lambda_05,val_fmap/animals/eval_B/lambda_20,val_fmap/animals/fmap_hks_wks/top10_acc
3.3744900226593018,149,1.9671189785003662,0,16.134807586669922,0.383404940366745,0.08540486544370651,155.331358301,0.8308733701705933,0.582513153553009,0.4345129728317261,4.499725818634033,0,0.8714808821678162,2.6459412574768066,48.02814483642578,1.6603248119354248,1776928353.6833386,0.5654870271682739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.284738063812256,299,1.4308339357376099,1,21.88878059387207,0.433240681886673,0.2962542176246643,171.48963799,0.65508633852005,0.5891215801239014,0.5004133582115173,3.361254930496216,1,1.3512864112854004,9.256173133850098,48.07929611206055,1.8567034006118774,1776928369.8406804,0.4995865821838379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.856746196746826,449,1.217616319656372,2,26.068744659423828,0.5972265601158142,0.5300558805465698,188.174672094,0.9160029292106628,0.7926228642463684,0.5134522914886475,2.921780586242676,2,1.7054334878921509,18.933744430541992,48.12592315673828,2.0289411544799805,1776928386.5268905,0.48654767870903015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.147086143493652,599,1.1790775060653687,3,28.60724449157715,0.744131863117218,0.5923104882240295,204.520270173,1.0606385469436646,0.9800138473510742,0.5234522819519043,2.834702730178833,3,1.8369925022125244,23.124420166015625,48.1640625,2.110119581222534,1776928402.8720047,0.4765477180480957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.24486255645752,749,1.202587604522705,4,30.0444278717041,0.8970566987991333,0.6070526242256165,220.88283189,1.2016595602035522,1.2018498182296753,0.5238844752311707,2.8812906742095947,4,1.9784122705459595,24.803647994995117,48.19908905029297,2.214500665664673,1776928419.2344444,0.47611546516418457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.007262229919434,899,1.1997367143630981,5,31.900609970092773,0.9949051737785339,0.6227066516876221,236.900751037,1.259379267692566,1.3354862928390503,0.5341390371322632,2.8653347492218018,5,2.0689287185668945,27.49567985534668,48.22800064086914,2.2693746089935303,1776928435.2531142,0.4658609926700592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.571887016296387,1049,1.2203128337860107,6,32.85502243041992,1.066721796989441,0.6290305256843567,253.250211589,1.2911180257797241,1.4157646894454956,0.5367453098297119,2.9038805961608887,6,2.151839256286621,28.48575782775879,48.252296447753906,2.333346128463745,1776928451.6025052,0.4632547199726105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.064003944396973,1199,1.2356411218643188,7,33.14551544189453,1.1286015510559082,0.6267712116241455,269.056530965,1.3291529417037964,1.5026938915252686,0.5401114821434021,2.9311704635620117,7,2.132572650909424,28.14133071899414,48.27631759643555,2.3557865619659424,1776928467.4091363,0.4598885476589203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.402749061584473,1349,1.2471247911453247,8,33.67835998535156,1.1783870458602905,0.6250593066215515,285.060004052,1.3573181629180908,1.5748200416564941,0.5419204831123352,2.952328681945801,8,2.1562705039978027,28.48929214477539,48.29954147338867,2.3872807025909424,1776928483.4121127,0.4580795466899872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.783364295959473,1499,1.249229907989502,9,34.1414680480957,1.2225456237792969,0.6255359053611755,300.907280404,1.3792088031768799,1.6321979761123657,0.544317364692688,2.9541432857513428,9,2.1702489852905273,28.761362075805664,48.32119369506836,2.407693386077881,1776928499.2592642,0.4556826055049896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
