val_fmap/animals/fmap_hks_wks/corr_error,val_fmap/animals/fmap_hks_wks/median_error,_runtime,val_fmap/animals/eval_B/lambda_05,val_fmap/animals/fmap_hks_wks/ortho_error,val_fmap/animals/eval_B/lambda_max,val_fmap/animals/fmap_hks_wks/top5_acc,train/encoder_weight_norm,train/loss,train/stiffness_area_ratio_mean,val_fmap/animals/eval_A/lambda_max,val_fmap/animals/spectral_nn/median_error,val_fmap/animals/fmap_hks_wks/geo_at_01pct,train/area_mean,val_fmap/animals/fmap_hks_wks/geomfum_accuracy,val_fmap/animals/fmap_hks_wks/mean_error,val_fmap/animals/fmap_hks_wks/biject_error,val_fmap/animals/eval_A/lambda_mean,_timestamp,val_fmap/animals/fmap_hks_wks/top10_acc,train/mcv_magnitude_std,val_fmap/animals/spectral_nn/ortho_error,val_fmap/animals/eval_B/lambda_01,train/cosine_similarity,val_fmap/animals/eval_B/lambda_10,val_fmap/animals/eval_B/lambda_100,val_fmap/animals/eval_B/lambda_mean,val_fmap/animals/spectral_nn/geo_at_25pct,val_fmap/animals/fmap_hks_wks/geo_at_25pct,val_fmap/animals/spectral_nn/corr_error,val_fmap/animals/fmap_hks_wks/accuracy,val_fmap/animals/fmap_hks_wks/geo_mean_error,train/area_std,train/stiffness_area_ratio_std,train/mcv_magnitude_mean,val_fmap/animals/eval_A/lambda_50,val_fmap/animals/fmap_hks_wks/diag_ratio,val_fmap/animals/spectral_nn/geo_at_01pct,epoch,val_fmap/animals/spectral_nn/geo_at_10pct,train/GeneralizedGradientSupervisionLoss,train/stiffness_max,val_fmap/animals/eval_A/lambda_20,val_fmap/animals/eval_A/lambda_05,train/stiffness_std,val_fmap/animals/spectral_nn/top10_acc,val_fmap/animals/eval_B/lambda_20,val_fmap/animals/spectral_nn/biject_error,val_fmap/geo@5%,train/GeneralizedLaplacianTestLoss,trainer/global_step,_step,val_fmap/animals/spectral_nn/top5_acc,val_fmap/animals/eval_A/lambda_01,val_fmap/animals/eval_B/lambda_50,train/LogAreaSupervisionLoss,val_fmap/animals/spectral_nn/diag_ratio,val_fmap/animals/fmap_hks_wks/top3_acc,val_fmap/animals/spectral_nn/accuracy,val_fmap/animals/eval_A/lambda_10,val_fmap/animals/eval_A/lambda_100,train/stiffness_mean,val_fmap/animals/spectral_nn/geo_at_05pct,val_fmap/animals/fmap_hks_wks/geo_at_05pct,val_fmap/animals/spectral_nn/geo_mean_error,val_fmap/animals/spectral_nn/top3_acc,val_fmap/animals/fmap_hks_wks/geo_at_10pct,val_fmap/animals/spectral_nn/mean_error
,,137.981116514,,,,,24.92538833618164,51.21427917480469,0.4101150929927826,,,,5.301202774047852,,,,,1776330469.5369782,,0.021860698238015175,,,0.5155033469200134,,,,,,,,,0.12116855382919312,0.032874878495931625,0.03961482271552086,,,,0,,1.0215630531311035,0.03026573546230793,,,0.003699136897921562,,,,,6.646870136260986,9,0,,,,43.54584503173828,,,,,,0.014538760297000408,,,,,,
,,140.796440573,,,,,24.925739288330078,50.85392761230469,0.500457763671875,,,,5.205084800720215,,,,,1776330472.3527207,,0.026189757511019707,,,0.5158610939979553,,,,,,,,,0.1205391213297844,0.03663850948214531,0.047817640006542206,,,,1,,1.0112522840499878,0.03490670397877693,,,0.004253506660461426,,,,,6.534936428070068,19,1,,,,43.30774688720703,,,,,,0.01742045395076275,,,,,,
,,143.457185167,,,,,24.92622184753418,50.500606536865234,0.6005492806434631,,,,5.115844249725342,,,,,1776330475.0139382,,0.031045742332935333,,,0.516571044921875,,,,,,,,,0.11536794155836105,0.040072306990623474,0.05677936598658562,,,,2,,1.0022822618484497,0.04027216136455536,,,0.004860250744968653,,,,,6.416824817657471,29,2,,,,43.08150100708008,,,,,,0.02055322751402855,,,,,,
,,146.166179071,,,,,24.926836013793945,50.1451416015625,0.7109948992729187,,,,5.028165817260742,,,,,1776330477.7227955,,0.036302778869867325,,,0.5179182291030884,,,,,,,,,0.11610323935747147,0.04402121901512146,0.06680751591920853,,,,3,,0.9942559599876404,0.0453895628452301,,,0.0055397870019078255,,,,,6.294267654418945,39,3,,,,42.85661697387695,,,,,,0.023896517232060432,,,,,,
,,148.983287989,,,,,24.927581787109375,49.776641845703125,0.8324165344238281,,,,4.93846321105957,,,,,1776330480.5396945,,0.04202308878302574,,,0.5188887715339661,,,,,,,,,0.11833570897579193,0.0483986958861351,0.07767696678638458,,,,4,,0.986972451210022,0.05127411708235741,,,0.006243114359676838,,,,,6.16659688949585,49,4,,,,42.62307357788086,,,,,,0.02748546563088894,,,,,,
,,151.871576478,,,,,24.9284610748291,49.39702224731445,0.964984118938446,,,,4.8469390869140625,,,,,1776330483.4283483,,0.04847025126218796,,,0.5182943344116211,,,,,,,,,0.11609998345375061,0.052820026874542236,0.08979392051696777,,,,5,,0.9806099534034729,0.0571184866130352,,,0.0069637964479625225,,,,,6.035938739776611,59,5,,,,42.38047409057617,,,,,,0.03127387911081314,,,,,,
,,154.612692361,,,,,24.92946434020996,49.00665283203125,1.1088569164276123,,,,4.753570556640625,,,,,1776330486.1693864,,0.05517090484499931,,,0.519771933555603,,,,,,,,,0.11184191703796387,0.05680534243583679,0.10271348804235458,,,,6,,0.9748575687408447,0.06352591514587402,,,0.007737628649920225,,,,,5.902778625488281,69,6,,,,42.1290168762207,,,,,,0.03526849299669266,,,,,,
,,157.737172565,,,,,24.930601119995117,48.6098747253418,1.2643935680389404,,,,4.6593098640441895,,,,,1776330489.2923694,,0.0632762610912323,,,0.5192371606826782,,,,,,,,,0.11054379492998123,0.06138711795210838,0.11700072139501572,,,,7,,0.9697341918945312,0.07018762826919556,,,0.008578091859817505,,,,,5.7680583000183105,79,7,,,,41.8720817565918,,,,,,0.039413001388311386,,,,,,
,,160.648291455,,,,,24.93187141418457,48.207542419433594,1.4300622940063477,,,,4.565324306488037,,,,,1776330492.2048793,,0.0713244378566742,,,0.518749475479126,,,,,,,,,0.11106376349925995,0.0679221823811531,0.1320723295211792,,,,8,,0.9646651148796082,0.07728327065706253,,,0.009463301859796047,,,,,5.633351802825928,89,8,,,,41.60952377319336,,,,,,0.04365330934524536,,,,,,
,,163.600421356,,,,,24.933265686035156,47.783103942871094,1.6088061332702637,,,,4.464316368103027,,,,,1776330495.1571746,,0.080063596367836,,,0.5193827748298645,,,,,,,,,0.10751375555992126,0.07238555699586868,0.1483173966407776,,,,9,,0.960040271282196,0.08407900482416153,,,0.010337138548493385,,,,,5.497907638549805,99,9,,,,41.325157165527344,,,,,,0.048029761761426926,,,,,,
